,precision,recall,f1-score,support
0,0.8064516129032258,0.9259259259259259,0.8620689655172414,81.0
1,0.5172413793103449,0.6122448979591837,0.5607476635514018,49.0
2,0.3333333333333333,0.1724137931034483,0.22727272727272724,29.0
3,0.2777777777777778,0.2631578947368421,0.27027027027027023,19.0
4,0.0,0.0,0.0,6.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.38696082066493637,0.39474850234507997,0.38407192532232814,184.0
weighted avg,0.5739774601946338,0.625,0.5925557931899972,184.0
